;Worldwide Navigation Database
;Exported via DFD v1.0 19.1003
;Software copyright (c) 2019 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;Source data copyright (c) 2019 Jeppesen
;This data may be used for ground based recreational computer game
;simulation software only, and may not be recompiled, interpreted,
;or distributed for any purpose without the written consent of Navigraph.
;The contents of this database is dated and must not be used for real
;world navigation as it is unlawful and unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1804 (29/MAR/2018 - 26/APR/2018) - Ver.1
;------------------------------------------------------
2KS6 36   39.746717 -96.027519 009 00823
2MD5 02   39.405239 -76.928078 008 00610
2MD5 20   39.410672 -76.927053 188 00610
2MI5 09   42.941697 -85.486411 086 00930
2MI5 27   42.941697 -85.486411 266 00930
2NC0 14   35.871853 -82.347672 136 00884
2NC0 32   35.866131 -82.340851 316 00884
2NR2 01   34.457778 -78.618333 001 00610
2NR2 19   34.457778 -78.618333 181 00610
2SC8 11   33.786819 -81.094817 105 01021
2SC8 29   33.786819 -81.094817 285 01021
2TA8 13   26.863289 -98.228067 132 01676
2TA8 31   26.853267 -98.215431 312 01676
2TX0 17   35.069706-101.849472 179 01158
2TX0 35   35.059284-101.849243 359 01158
2VG2 13   38.975169 -77.877647 120 01554
2VG2 31   38.968103 -77.862161 300 01554
2XA0 17   33.979250 -99.712872 178 00975
2XA0 35   33.979250 -99.712872 358 00975
2XS2 15   28.269844-100.166108 155 01574
2XS2 33   28.256928-100.159436 335 01574
31CD 04   37.869750-104.789806 049 01524
31CD 22   37.869750-104.789806 229 01524
31VA 02   37.012261 -76.591092 013 01805
31VA 20   37.028133 -76.586675 193 01805
36CA 16   36.136398-119.986176 175 01006
36CA 34   36.127380-119.985199 355 01006
37XA 17   29.999167 -95.930433 179 01277
37XA 35   29.987647 -95.930306 359 01277
38AZ 02   36.463231-110.425103 034 02286
38AZ 20   36.480239-110.410703 214 02286
38WV 04   39.325000 -78.425000 030 00457
38WV 22   39.325000 -78.425000 210 00457
38XS 14   26.822297 -98.484025 149 01829
38XS 32   26.808131 -98.474583 329 01829
3FL0 08   29.435156 -81.660965 074 00914
3FL0 26   29.436987 -81.652527 254 00914
3GA3 04   34.871111 -85.437500 036 00457
3GA3 22   34.871111 -85.437500 216 00457
3LA4 12   29.802631 -92.808861 122 01220
3LA4 30   29.796733 -92.798208 302 01220
3MS9 10   32.580694 -89.136169 102 00777
3MS9 28   32.580694 -89.136169 282 00777
3NJ1 04   39.982178 -74.694972 028 00783
3NJ1 22   39.982178 -74.694972 208 00783
3NJ6 02   40.010786 -74.842094 007 01220
3NJ6 20   40.020353 -74.840531 187 01220
3NR3 09   35.270278 -82.644167 085 00885
3NR3 27   35.270278 -82.644167 265 00885
3PN7 02   41.747861 -75.497406 008 00671
3PN7 20   41.747861 -75.497406 188 00671
40AR 13   36.396572 -93.909786 134 00960
40AR 31   36.396572 -93.909786 314 00960
40XS 15   30.521514 -97.782433 160 00914
40XS 33   30.513756 -97.779203 340 00914
42XS 13   27.963889 -98.409000 137 01524
42XS 31   27.953750 -98.398528 317 01524
44CL 12   39.050300-121.953014 140 00708
44CL 30   39.045408-121.947764 320 00708
46MI 18   42.547134 -84.128571 173 00732
46MI 36   42.540550 -84.128571 353 00732
4AK6 06   61.640514-149.299683 085 01158
4AK6 09   61.640969-149.288750 115 00853
4AK6 18   61.643955-149.294296 205 00792
4AK6 24   61.641422-149.277832 265 01158
4AK6 27   61.640969-149.288750 295 00853
4AK6 36   61.637493-149.300644 385 00792
4FL5 15   27.760780 -81.602882 145 00914
4FL5 33   27.753654 -81.598228 325 00914
4GA5 18   32.093133 -84.372411 178 00992
4GA5 36   32.084189 -84.372608 358 00992
4KS5 17   37.765567 -97.435878 177 00640
4KS5 35   37.765567 -97.435878 357 00640
4MO1 03   39.009769 -91.421444 028 00719
4MO1 21   39.015483 -91.417522 208 00719
4WI7 09   45.203289 -89.527458 089 00541
4WI7 27   45.203365 -89.521431 269 00541
4WI9 09   45.165522 -91.105697 089 00738
4WI9 27   45.165522 -91.105697 269 00738
51MO 18   39.597456 -94.461297 182 00640
51MO 36   39.591692 -94.461514 362 00640
53KT 01   37.304514 -85.060233 012 00914
53KT 19   37.312569 -85.058011 192 00914
54CL 10   33.522739-116.801987 113 01067
54CL 28   33.518986-116.791382 293 01067
55CL 17   39.053056-122.095556 184 00914
55CL 35   39.053056-122.095556 364 00914
57AZ 01   32.442675-111.004081 020 01423
57AZ 19   32.453250-110.999542 200 01423
58CL 08   33.192181-116.284619 097 00796
58CL 18   33.193681-116.277161 187 00335
58CL 26   33.191369-116.276997 277 00796
58CL 36   33.190692-116.277697 367 00335
59FD 10   26.327117 -80.996450 097 01706
59FD 28   26.325300 -80.979483 277 01706
5AZ3 08   33.212685-111.623779 092 01524
5AZ3 26   33.212303-111.610672 272 01524
5KY4 13   36.805156 -87.180025 138 00893
5KY4 31   36.799111 -87.173417 318 00893
5MD1 08   39.417686 -76.678997 069 00366
5MD1 26   39.417686 -76.678997 249 00366
5NC2 02L  35.981569 -80.512100 014 00739
5NC2 02R  35.984861 -80.511417 014 00305
5NC2 20L  35.984861 -80.511417 194 00305
5NC2 20R  35.988133 -80.510706 194 00739
5TE0 15   28.634300-100.166000 150 01676
5TE0 33   28.621228-100.157372 330 01676
5TX0 17   33.173453 -97.051397 177 00792
5TX0 35   33.173453 -97.051397 357 00792
5TX1 02   30.793128 -99.216586 025 00396
5TX1 20   30.793128 -99.216586 205 00396
62AL 11   30.683525 -88.371956 111 00752
62AL 29   30.683525 -88.371956 291 00752
62GA 18   33.329117 -83.915947 178 00893
62GA 36   33.321083 -83.915611 358 00893
64OG 07   44.493436-119.843686 085 01579
64OG 25   44.493436-119.843686 265 01579
65MO 18   36.736753 -89.582228 179 00872
65MO 36   36.728900 -89.582064 359 00872
65NK 09   42.729519 -74.164017 076 00838
65NK 27   42.729519 -74.164017 256 00838
66TE 17   32.369753 -97.645583 173 00945
66TE 35   32.361289 -97.644439 353 00945
68IS 09   42.148600 -88.567475 090 00914
68IS 27   42.148600 -88.556419 270 00914
68MI 03   42.146389 -83.791944 024 00507
68MI 09   42.146389 -83.791944 084 00564
68MI 21   42.146389 -83.791944 204 00507
68MI 27   42.146389 -83.791944 264 00564
6FL8 18   29.590903 -82.871258 180 00792
6FL8 36   29.584258 -82.871225 360 00792
6MN7 18   44.401042 -92.687600 184 00476
6MN7 36   44.401042 -92.687600 364 00476
6NC1 03   35.588066 -81.081657 025 00914
6NC1 21   35.595528 -81.077385 205 00914
6TE6 01   33.634767-100.349850 016 01554
6TE6 19   33.648217-100.345167 196 01554
6TE9 09   32.816803 -94.616869 095 00866
6TE9 27   32.816803 -94.616869 275 00866
6TS3 17   33.540683 -96.680439 180 00975
6TS3 35   33.531894 -96.680397 360 00975
72IN 18   41.178461 -87.318000 176 00762
72IN 36   41.178461 -87.318000 356 00762
